item_id,item_description,upc
OTR10300,"300 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837001446
OTR1050,"50 FT, UNITS: 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837001408
OTR10M100,"100FT, UNITS: 1/10, 1/100, & 30M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837001118
OTR10M165,"165FT, UNITS: 1/10, 1/100, & 50M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837001125
OTR10M200,"200FT, UNITS: 1/10, 1/100, & 60M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837001132
OTR10M300,"330FT, UNITS: 1/10, 1/100, & 100M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837001149
OTR10M50,"50FT, UNITS: 1/10, 1/100, & 15M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837001101
OTR15M,"15M M, 2MM, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837010400
OTR18100,"100 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK",052837000210
OTR1810100,"100 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837000814
OTR1810200,"200 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837000838
OTR1810300,"300 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837000845
OTR181050,"50 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK",052837000807
OTR18165,"165 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK",052837000227
OTR18200,"200 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK",052837000234
OTR18300,"300 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK",052837000241
OTR1850,"50 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK",052837000203
OTR18M100,"100 FT, UNITS: IN, 1/8 & 30M, FIBERGLASS TAPE MEASURE WITH HOOK",052837000517
OTR18M165,"165 FT, UNITS: IN, 1/8 & 50M, FIBERGLASS TAPE MEASURE WITH HOOK",052837000524
OTR18M200,"200 FT, UNITS: IN, 1/8 & 60M, FIBERGLASS TAPE MEASURE WITH HOOK",052837000531
OTR18M300,"330 FT, UNITS: IN, 1/8 & 100M, FIBERGLASS TAPE MEASURE WITH HOOK",052837000548
OTR18M50,"50 FT, UNITS: IN, 1/8 & 15M, FIBERGLASS TAPE MEASURE WITH HOOK",052837000500
OTR30M,"30M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837010417
OTR30MM,"30M, UNITS: METRIC 2MM/5MM DOUBLE SIDED FIBERGLASS TAPE MEASURE W/HOOK",052837010455
OTR50M,"50M, UNITS: METRIC FIBERGLASS TAPE MEASURE WITH HOOK",052837010424
OTR50MM,"50M, UNITS: METRIC 2MM/5MM DOUBLE SIDED FIBERGLASS TAPE MEASURE W/HOOK",052837010462
OTRS10100H,"100 FT, UNITS: 1/10, 1/10 FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837026746
OTRS10200H,"200 FT, UNITS: 1/10, 1/10 FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837026753
OTRS10300H,"300 FT, UNITS: 1/10, 1/10 FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837026760
OTRS18100,"100 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837027217
OTRS1810100,"100 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK END 3X1 REWIND",052837028085
OTRS1810100E,"100 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH RING 3X1 REWIND",052837027675
OTRS1810200,"200 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK END 3X1 REWIND",052837028160
OTRS1810200E,"200 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH RING 3X1 REWIND",052837026005
OTRS1810300E,"300 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH RING 3X1 REWIND",052837026012
OTRS1810330,"330 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FIBERGLASS TAPE MEASURE WITH HOOK END 3X1 REWIND",052837028092
OTRS18200,"200 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837027224
OTRS18300,"300 FT, UNITS: IN, 1/8, FIBERGLASS TAPE MEASURE WITH HOOK 3X1 REWIND",052837027231
OTRS18M100,"100 FT, UNITS: IN, 1/8, AND METRIC FIBERGLASS TAPE MEASURE WITH HOOK END 3X1 REWIND",052837028108
OTRS18M200,"200 FT, UNITS: IN, 1/8, AND METRIC FIBERGLASS TAPE MEASURE WITH HOOK END 3X1 REWIND",052837028177
RF100M,"100M, FIBERGLASS TAPE REFILL METRIC",052837010516
RF100MM,"100M, FIBERGLASS TAPE REFILL DOUBLE SIDED 2MM/5MM",052837007011
RF10100,100 FT FIBERGLASS TAPE REFILL FT & 10THS,052837001514
RF10165,165 FT FIBERGLASS TAPE REFILL FT & 10THS,052837001521
RF10200,200 FT FIBERGLASS REFILL FT & 10THS,052837001538
RF10300,300 FT FIBERGLASS TAPE REFILL FT & 10THS,052837001545
RF1050,50 FT FIBERGLASS TAPE REFILL FT & 10THS,052837001507
RF10M200,"200 FT & 60M, FIBERGLASS TAPE REFILL - FT & 10THS/METRIC",052837001231
RF10M50,"50 FT & 15M, FIBERGLASS TAPE REFILL - FT & 10THS/METRIC",052837001200
RF15M,"15M, FIBERGLASS TAPE REFILL *while supplies last",052837010486
RF18100,100 FT FIBERGLASS TAPE REFILL FT & IN,052837000326
RF1810100,100 FT FIBERGLASS TAPE REFILL FT & IN/FT & 10THS,052837000913
RF1810200,200 FT FIBERGLASS TAPE REFILL FT & IN/FT & 10THS,052837000937
RF1810300,300 FT FIBERGLASS TAPE REFILL FT & IN/FT & 10THS,052837000944
RF181050,50 FT FIBERGLASS TAPE REFILL FT & IN/FT & 10THS,052837000906
RF18165,165 FT FIBERGLASS TAPE REFILL FT & IN,052837000333
RF18200,200 FT FIBERGLASS TAPE REFILL FT & IN,052837000340
RF18300,300 FT FIBERGLASS TAPE REFILL FT & IN,052837000357
RF1850,50 FT FIBERGLASS TAPE REFILL FT & IN,052837000319
RF18M100,"100 FT & 30M, FIBERGLASS TAPE REFILL FT & IN/METRIC",052837000616
RF18M165,"165 FT & 50M, FIBERGLASS TAPE REFILL FT & IN/METRIC",052837000623
RF18M200,"200 FT & 60M, FIBERGLASS TAPE REFILL FT & IN/METRIC",052837000630
RF18M300,"330 FT & 100M, FIBERGLASS TAPE REFILL FT & IN/METRIC",052837000647
RF18M50,"50 FT & 15M, FIBERGLASS TAPE REFILL FT & IN/METRIC",052837000609
RF30MM,"30M/30M, FIBERGLASS TAPE 2 SIDE REFILL",052837010530
RF50M,"50M, FIBERGLASS TAPE REFILL - METRIC",052837010509
RF50MM,"50M/50M, FIBERGLASS TAPE 2 SIDE REFILL",052837010561
FLT10165,"165 FT, UNITS: 1/10, 1/100, FREEWHEELING FIBERGLASS TAPE MEASURE",052837027187
FLT10200,"200 FT, UNITS: 1/10, 1/100, FREEWHEELING FIBERGLASS TAPE MEASURE",052837027132
FLT1810200,"200 FT, UNITS: IN, 1/8, AND FT, 1/10, 1/100, FREEWHEELING FIBERGLASS TAPE MEASURE",052837027316
FLT18165,"165 FT, UNITS: IN, 1/8, FREEWHEELING FIBERGLASS TAPE MEASURE",052837027170
FLT18200,"200 FT, UNITS: IN, 1/8, FREEWHEELING FIBERGLASS TAPE MEASURE",052837027156
FLT18M165,"165 FT, UNITS: IN, 1/8, AND METRIC FREEWHEELING FIBERGLASS TAPE MEASURE",052837027163
FLT18M200,"200 FT, UNITS: IN, 1/8, AND METRIC FREEWHEELING FIBERGLASS TAPE MEASURE",052837027149
FLT50MM,"50M, UNITS: METRIC 2MM/5MM DOUBLE SIDED FREEWHEELING FIBERGLASS TAPE MEASURE",052837027194
D18646,6 FT DIAMETER TAPE FT & IN,052837005703
PD618,"6 FT x 1/4 IN, LACQUER COATED STEEL , UNITS: FT, IN, 1/8, 1/16, IN PI TO THE 100THS, STEEL CASE",052837027750
PR2M,POCKET ROD METRIC,052837020416
PR610,POCKET ROD FT & 10THS,052837005208
PR618,POCKET ROD FT & IN,052837005307
ST10010,"100 FT, UNITS: 1/10, 1/100, PAINTED STEEL TAPE CLOSED CASE W/HOOK",052837010738
ST10018,"100 FT, UNITS: IN, 1/8, PAINTED STEEL TAPE CLOSED CASE W/HOOK",052837010387
ST10018M,"100 FT, UNITS: IN, 1/8, AND METRIC PAINTED STEEL TAPE CLOSED CASE W/HOOK",052837027651
ST101003X,"100 FT, UNITS: 10, 100 LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837027118
ST10503X,"50 FT, UNITS: 10, 100 LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837027385
ST181003X,"100 FT, UNITS: IN, 1/8, LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837026531
ST18100Y,"100 FT, UNITS: IN, 1/8, LACQUER COATED STEEL TAPE WITH HOOK",052837023516
ST18503X,"50 FT, UNITS: IN, 1/8, LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837027248
ST1850Y,"50 FT, UNITS: IN, 1/8, LACQUER COATED STEEL TAPE WITH HOOK",052837023509
ST18M1003X,"100 FT, UNITS: IN, 1/8, AND METRIC LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837027620
ST18M100Y,"100 FT, UNITS: IN, 1/8, AND METRIC LACQUER COATED STEEL TAPE WITH HOOK",052837027637
ST18M503X,"50 FT, UNITS: IN, 1/8, AND METRIC LACQUER COATED STEEL TAPE WITH HOOK 3X1 REWIND",052837027644
ST5018,"50 FT, UNITS: IN, 1/8, PAINTED STEEL TAPE CLOSED CASE W/HOOK",052837010394
NR10100,"100 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING",052837002207
NR10100H,"100 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE WITH HOOK",052837002504
NR10200,"200 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING",052837002221
NR10200H,"200 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE WITH HOOK",052837002528
NR18100,"100 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK",052837001903
NR18165,"165 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK",052837009916
NR18200,"200 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK",052837001927
NR30M,"30M, UNITS: METRIC , 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING *while supplies last",052837002801
NR30MH,"30M, UNITS: METRIC , 2X NYLON COATED STEEL TAPE W/HOOK",052837022748
NR60M,"60M, UNITS: METRIC , 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING",052837002818
NRF10100,100 FT NYLON TAPE REFILL - 10 SERIES,052837002313
NRF10200,200 FT NYLON TAPE REFILL - 10 SERIES *while supplies last,052837002337
NRF10300,300 FT NYLON TAPE REFILL - 10 SERIES,052837003617
NRF18100,100 FT NYLON TAPE REFILL 18 SERIES,052837002016
NRF18200,200 FT NYLON TAPE REFILL - 18 SERIES,052837002030
NRF18300,300 FT NYLON TAPE REFILL - 18 SERIES,052837003518
NRS10100H,"100 FT, UNITS: 1/10, 1/100, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837022687
NRS10200H,"200 FT, UNITS: 1/10, 1/100, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837022694
NRS10300H,"300 FT, UNITS: 1/10, 1/100, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837022700
NRS18100,"100 FT, UNITS: IN, 1/8, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837020980
NRS18200,"200 FT, UNITS: IN, 1/8, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837021000
NRS18300,"300 FT, UNITS: IN, 1/8, 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH HOOK",052837021017
NRS18M100,"100 FT, UNITS: IN, 1/8 & M, CM, MM , 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH DOUBLE HOOK",052837028061
NRS18M200,"200 FT, UNITS: IN, 1/8 & M, CM, MM , 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH DOUBLE HOOK",052837028078
NRS18M330,"330 FT, UNITS: IN, 1/8 & M, CM, MM , 2X NYLON COATED TAPE 3X1 REWIND MEASURE WITH DOUBLE HOOK",052837028368
SNR100M,"100M, UNITS: METRIC , 2X NYLON COATED TAPE W/DEAD FOOT AND RING STAINLESS STEEL HOUSING",052837003808
SNR10100,"100 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING STAINLESS STEEL HOUSING",052837026050
SNR10100H,"100 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE WITH HOOK STAINLESS STEEL HOUSING",052837026197
SNR10200,"200 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING STAINLESS STEEL HOUSING",052837026067
SNR10200H,"200 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE WITH HOOK",052837026258
SNR10300,"300 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/DEAD FOOT AND RING STAINLESS STEEL HOUSING",052837003600
SNR10300E,"300 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/RING STAINLESS STEEL HOUSING *while supplies last",052837022854
SNR10300H,"300 FT, UNITS: 1/10, 1/100, 2X NYLON COATED STEEL TAPE W/HOOK STAINLESS STEEL HOUSING",052837003624
SNR18100,"100 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK STAINLESS STEEL HOUSING",052837025985
SNR18200,"200 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK STAINLESS STEEL HOUSING",052837025992
SNR18300,"300 FT, UNITS: IN, 1/8, 2X NYLON COATED STEEL TAPE WITH HOOK STAINLESS STEEL HOUSING",052837003501
PG10,"10 FT x 1/4 IN, LACQUER COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, MAGNETIC BACK",052837027596
PG1016,"16 FT x 1 IN, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, CHROME *while supplies last",052837004300
PG181025ALV,"25 FT x 1 IN, NYLON COATED STEEL , UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029433
PG181025UB,"25' POCKET TAPE ULTRA BRIGHT DUAL BLADE W/GRIP, UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16",052837028337
PG181025WIDEV,"25 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL , UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16, ORANGE",052837027781
PG181033UB,"33' POCKET TAPE ULTRA BRIGHT DUAL BLADE W/GRIP, UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16",052837028351
PG181033WIDEV,"33 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL , UNITS: FT, 1/10, 1/100, & FT, IN, 1/8, 1/16, ORANGE",052837028443
PG1812SQ,"12 FT x 5/8 IN, ARCH, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, CHROME",052837027798
PG1816,"16 FT x 1 IN, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, CHROME *while supplies last",052837004102
PG1816ALVMAG,"16 FT x 1 IN, AUTOLOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16, ORANGE, MAGNETIC TIP",052837028702
PG1816UB,"16 FT x 1 IN, RUBBER SHEATH, NYLON COATED ULTRA BRIGHT STEEL, UNITS: FT/IN TOP, VERTICAL FT/IN",052837028306
PG1825ALV,"25 FT x 1 IN, AUTOLOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027804
PG1825UB,"25 FT x 1 IN, RUBBER SHEATH, NYLON COATED ULTRA BRIGHT STEEL, UNITS: FT/IN TOP, VERTICAL FT/IN",052837028313
PG1825VMAG,"25 FT x 1 IN NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE, MAGNETIC TIP",052837027828
PG1825WIDEV,"25 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027835
PG1830UB,"30 FT x 1 IN, RUBBER SHEATH, NYLON COATED ULTRA BRIGHT STEEL, UNITS: FT/IN TOP, VERTICAL FT/IN",052837028344
PG1830WIDEV,"30 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL BLADE, UNITS: FT, IN, 1/8, 1/16, ORANGE",052837028399
PG1835WIDEV,"35 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL BLADE, UNITS: FT, IN, 1/8, 1/16, ORANGE",052837028405
PG186KC,"KEY CHAIN, 6' POCKET TAPE INCHES AND 1/8'S",052837028719
PG18M16,"16 FT x 1 IN, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16 & CM, MM, CHROME *while supplies last",052837027859
PG18M25ALV,"25 FT x 1 IN, AUTOLOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16 & CM, MM, ORANGE *NEW ITEM",052837029419
PG18M25UB,"25' POCKET TAPE ULTRA BRIGHT DUAL BLADE W/GRIP, UNITS: CM, MM & FT, 1/8, 1/16",052837028320
PG18M25WIDEV,"25 FT x 1 3/16 IN, WIDE, NYLON COATED STEEL , UNITS: FT, IN, 1/8, 1/16 & CM, MM, ORANGE",052837028436
PG18M26VMAG,"26 FT x 1 IN NYLON COATED STEEL BLADE, UNITS: 1/8, 1/16 & CM, MM, ORANGE, MAGNETIC TIP",052837028726
PG18M6KC,"KEY CHAIN, 6' POCKET TAPE METRIC",052837028740
PG25,"25 FT x 1 IN, LACQUER COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ECONOMY",052837022076
PG2510,"25 FT x 1 IN, LACQUER COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, ECONOMY",052837026371
PG8M,"8M x 1 IN, NYLON COATED STEEL BLADE, UNITS: M, CM, MM, CHROME *while supplies last",052837028252
PGPRO1025V,"25 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, ORANGE *NEW ITEM",052837029297
PGPRO10M25V,"25 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100,  & CM, MM, ORANGE *NEW ITEM",052837029341
PGPRO181012V,"12 FT x 5/8 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029334
PGPRO181025V,"25 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029310
PGPRO181033V,"33 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, & FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029402
PGPRO1810V,"10 FT x 5/8 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029327
PGPRO1812V,"12 FT x 5/8 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027873
PGPRO1816V,"16 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027880
PGPRO1825V,"25 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027897
PGPRO1830V,"30 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE *NEW ITEM",052837029426
PGPRO1835V,"35 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027903
PGPRO18M10V,"10 FT x 5/8 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16 & CM, MM, ORANGE *NEW ITEM",052837029303
PGPRO18M16V,"16 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16 & CM, MM, ORANGE *NEW ITEM",052837029358
PGPRO18M25V,"25 FT x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16 & CM, MM, ORANGE *NEW ITEM",052837029365
PGPRO3MV,"3M x 5/8 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: M, CM, MM, ORANGE *NEW ITEM",052837029372
PGPRO5MV,"5M x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: M, CM, MM, ORANGE *NEW ITEM",052837029389
PGPRO8MV,"8M x 1 IN, PRO CASE, NYLON COATED STEEL BLADE, UNITS: M, CM, MM, ORANGE *NEW ITEM",052837029396
PGT1033V,"33 FT x 1 IN, NYLON COATED STEEL BLADE, UNITS: FT, 1/10, 1/100, ORANGE",052837028375
PGT181012V,"12 FT x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FT, 1/10, 1/100, ORANGE",052837027910
PGT181025V,"25 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FT, 1/10, 1/100, ORANGE",052837027927
PGT181033V,"33 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FT, 1/10, 1/100, ORANGE",052837027934
PGT1810V,"10 FT x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027941
PGT1812V,"12 FT x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027958
PGT1816V,"16 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027965
PGT1825V,"25 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027972
PGT1830V,"30 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027989
PGT1833V,"33 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837027996
PGT18M10V,"10 FT x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & CM, MM, ORANGE",052837028009
PGT18M16V,"16 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & CM & MM, ORANGE",052837028016
PGT18M25V,"25 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: FT, 1/8, 1/16, ORANGE",052837028023
PGT3MV,"3M x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: M, CM, MM, ORANGE",052837028269
PGT5MV,"5M x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: M, CM & MM, ORANGE",052837028276
PGT8MV,"8M x 1 IN, TOGGLE LOCK, NYLON COATED STEEL BLADE, UNITS: M, CM & MM, ORANGE",052837028283
PGTFD12V,"12 FT x 5/8 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FRACTIONAL DECIMAL, ORANGE",052837028030
PGTFD16V,"16 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FRACTIONAL DECIMAL, ORANGE",052837028047
PGTFD25V,"25 FT x 1 IN, TOGGLE LOCK, NYLON COATED STEEL , UNITS: FT, 1/8, 1/16 & FRACTIONAL DECIMAL, ORANGE",052837028054
CS16,"SPRAY PAINT, UPSIDE DOWN, 16 OZ CLEAR ACRYLIC, CHALK LINE SAVER",052837025503
CS20,"SPRAY PAINT, UPSIDE DOWN, 20 OZ CLEAR ACRYLIC, CHALK LINE SAVER",052837009077
SP16RO,"SPRAY PAINT, UPSIDE DOWN, 16 OZ RED-ORANGE",052837009015
SP16W,"SPRAY PAINT, UPSIDE DOWN, 16 OZ WHITE",052837009176
SP20B,"SPRAY PAINT, UPSIDE DOWN, 20 OZ BLUE",052837009145
SP20BK,"SPRAY PAINT, UPSIDE DOWN, 20 OZ BLACK",052837021970
SP20G,"SPRAY PAINT, UPSIDE DOWN, 20 OZ GREEN",052837009169
SP20GO,"SPRAY PAINT, UPSIDE DOWN, 20OZ GLO ORANGE",052837021963
SP20GP,"SPRAY PAINT, UPSIDE DOWN, 20 OZ GLO PINK",052837009121
SP20R,"SPRAY PAINT, UPSIDE DOWN, 20 OZ RED",052837009138
SP20RO,"SPRAY PAINT, UPSIDE DOWN, 20 OZ RED-ORANGE",052837009114
SP20W,"SPRAY PAINT, UPSIDE DOWN, 20 OZ WHITE",052837021956
SP20Y,"SPRAY PAINT, UPSIDE DOWN, 20 OZ YELLOW",052837009152
PA14,"PAINT APPLICATOR, HAND HELD",052837010066
PA35,"PAINT APPLICATOR, HAND HELD 36 IN HANDLE, OPTIONAL WHEEL",052837010059
RRPA18,"PAINT APPLICATOR, MEASURING WHEEL, UNITS: IN & FT",052837022298
RRPA182,"PAINT APPLICATOR, MEASURING WHEEL, DUAL WHEEL, UNITS: IN & FT",052837020768
CP12,"CARPENTER PENCILS, ORANGE, BLACK LEAD, PACK OF 12",052837007929
LP72,"CARPENTER PENCILS, ORANGE, BLACK LEAD, PACK OF 72",052837007905
LP72R,"CARPENTER PENCILS, ORANGE, RED LEAD, PACK OF 72",052837020560
LP72WHITE,"CARPENTER PENCILS, WHITE, BLACK LEAD, BOX OF 72",052837027736
SH500,"SOAPSTONE HOLDER, METAL",052837024247
SS144BULK,"WHITE SOAPSTONE, BULK, BOX OF 144",052837024230
66010520,"ZB 24 9.5"" CARPENTER'S PENCIL RED *NEW ITEM",885829001496
66011020,"STB24 9.5"" MASON'S PENCIL GREEN *NEW ITEM",885829001519
66012520,"KB24 9.5"" WET/DRY WOOD PENCIL BLUE *NEW ITEM",885829001557
66022520,"SB24 9.5"" SIGNAL PENCIL YELLOW *NEW ITEM",885829001571
66023520,"UB24 9.5"" CARPENTER'S PENCIL BLACK *NEW ITEM",885829001618
66024020,"RBB17 6.7"" CARPENTER'S PENCIL RED/BLUE *NEW ITEM",885829001656
66026120,"CPM - 10 PACK, MECHANICAL CARPENTER PENCIL *NEW ITEM",9002719044239
66026142,"CPM SET - MECHANICAL CARPENTER PENCIL DISPLAY W/20 CPM, 10SG CPM HB AND 10 SG CPM 10H *NEW ITEM",9002719044253
66027120,SG CPM HB 10 X 6 LEAD REFILLS *NEW ITEM,9002719044260
